PING 10.1.74.178 (10.1.74.178) 56(84) bytes of data.
64 bytes from 10.1.74.178: icmp_seq=46 ttl=24 time=264 ms
64 bytes from 10.1.74.178: icmp_seq=47 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=48 ttl=24 time=262 ms
64 bytes from 10.1.74.178: icmp_seq=49 ttl=24 time=259 ms
64 bytes from 10.1.74.178: icmp_seq=50 ttl=24 time=253 ms
64 bytes from 10.1.74.178: icmp_seq=51 ttl=24 time=268 ms
64 bytes from 10.1.74.178: icmp_seq=52 ttl=24 time=266 ms
64 bytes from 10.1.74.178: icmp_seq=53 ttl=24 time=267 ms
64 bytes from 10.1.74.178: icmp_seq=54 ttl=24 time=273 ms
64 bytes from 10.1.74.178: icmp_seq=55 ttl=24 time=278 ms
64 bytes from 10.1.74.178: icmp_seq=56 ttl=24 time=272 ms
64 bytes from 10.1.74.178: icmp_seq=57 ttl=24 time=278 ms
64 bytes from 10.1.74.178: icmp_seq=58 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=59 ttl=24 time=262 ms
64 bytes from 10.1.74.178: icmp_seq=60 ttl=24 time=265 ms
64 bytes from 10.1.74.178: icmp_seq=61 ttl=24 time=267 ms
64 bytes from 10.1.74.178: icmp_seq=62 ttl=24 time=272 ms
64 bytes from 10.1.74.178: icmp_seq=63 ttl=24 time=259 ms
64 bytes from 10.1.74.178: icmp_seq=64 ttl=24 time=267 ms
64 bytes from 10.1.74.178: icmp_seq=65 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=66 ttl=24 time=278 ms
64 bytes from 10.1.74.178: icmp_seq=67 ttl=24 time=268 ms
64 bytes from 10.1.74.178: icmp_seq=68 ttl=24 time=266 ms
64 bytes from 10.1.74.178: icmp_seq=69 ttl=24 time=269 ms
64 bytes from 10.1.74.178: icmp_seq=70 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=71 ttl=24 time=264 ms
64 bytes from 10.1.74.178: icmp_seq=72 ttl=24 time=278 ms
64 bytes from 10.1.74.178: icmp_seq=73 ttl=24 time=281 ms
64 bytes from 10.1.74.178: icmp_seq=74 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=75 ttl=24 time=271 ms
64 bytes from 10.1.74.178: icmp_seq=76 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=77 ttl=24 time=269 ms
64 bytes from 10.1.74.178: icmp_seq=78 ttl=24 time=271 ms
64 bytes from 10.1.74.178: icmp_seq=79 ttl=24 time=253 ms
64 bytes from 10.1.74.178: icmp_seq=80 ttl=24 time=262 ms
64 bytes from 10.1.74.178: icmp_seq=81 ttl=24 time=272 ms
64 bytes from 10.1.74.178: icmp_seq=82 ttl=24 time=265 ms
64 bytes from 10.1.74.178: icmp_seq=83 ttl=24 time=265 ms
64 bytes from 10.1.74.178: icmp_seq=84 ttl=24 time=258 ms
64 bytes from 10.1.74.178: icmp_seq=85 ttl=24 time=271 ms
64 bytes from 10.1.74.178: icmp_seq=86 ttl=24 time=264 ms
64 bytes from 10.1.74.178: icmp_seq=87 ttl=24 time=236 ms
64 bytes from 10.1.74.178: icmp_seq=88 ttl=24 time=260 ms
64 bytes from 10.1.74.178: icmp_seq=89 ttl=24 time=263 ms
64 bytes from 10.1.74.178: icmp_seq=90 ttl=24 time=267 ms
64 bytes from 10.1.74.178: icmp_seq=91 ttl=24 time=267 ms
64 bytes from 10.1.74.178: icmp_seq=92 ttl=24 time=268 ms
64 bytes from 10.1.74.178: icmp_seq=93 ttl=24 time=262 ms
64 bytes from 10.1.74.178: icmp_seq=94 ttl=24 time=268 ms
64 bytes from 10.1.74.178: icmp_seq=95 ttl=24 time=277 ms
64 bytes from 10.1.74.178: icmp_seq=96 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=97 ttl=24 time=272 ms
64 bytes from 10.1.74.178: icmp_seq=98 ttl=24 time=267 ms
64 bytes from 10.1.74.178: icmp_seq=99 ttl=24 time=263 ms
64 bytes from 10.1.74.178: icmp_seq=100 ttl=24 time=272 ms
64 bytes from 10.1.74.178: icmp_seq=101 ttl=24 time=269 ms
64 bytes from 10.1.74.178: icmp_seq=102 ttl=24 time=280 ms
64 bytes from 10.1.74.178: icmp_seq=103 ttl=24 time=269 ms
64 bytes from 10.1.74.178: icmp_seq=104 ttl=24 time=273 ms
64 bytes from 10.1.74.178: icmp_seq=105 ttl=24 time=272 ms
64 bytes from 10.1.74.178: icmp_seq=106 ttl=24 time=278 ms
64 bytes from 10.1.74.178: icmp_seq=107 ttl=24 time=267 ms
64 bytes from 10.1.74.178: icmp_seq=108 ttl=24 time=265 ms
64 bytes from 10.1.74.178: icmp_seq=109 ttl=24 time=268 ms
64 bytes from 10.1.74.178: icmp_seq=110 ttl=24 time=269 ms
64 bytes from 10.1.74.178: icmp_seq=111 ttl=24 time=268 ms
64 bytes from 10.1.74.178: icmp_seq=112 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=113 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=114 ttl=24 time=265 ms
64 bytes from 10.1.74.178: icmp_seq=115 ttl=24 time=267 ms
64 bytes from 10.1.74.178: icmp_seq=116 ttl=24 time=282 ms
64 bytes from 10.1.74.178: icmp_seq=117 ttl=24 time=263 ms
64 bytes from 10.1.74.178: icmp_seq=118 ttl=24 time=269 ms
64 bytes from 10.1.74.178: icmp_seq=119 ttl=24 time=272 ms
64 bytes from 10.1.74.178: icmp_seq=120 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=121 ttl=24 time=269 ms
64 bytes from 10.1.74.178: icmp_seq=122 ttl=24 time=263 ms
64 bytes from 10.1.74.178: icmp_seq=123 ttl=24 time=287 ms
64 bytes from 10.1.74.178: icmp_seq=124 ttl=24 time=272 ms
64 bytes from 10.1.74.178: icmp_seq=125 ttl=24 time=268 ms
64 bytes from 10.1.74.178: icmp_seq=126 ttl=24 time=271 ms
64 bytes from 10.1.74.178: icmp_seq=127 ttl=24 time=268 ms
64 bytes from 10.1.74.178: icmp_seq=128 ttl=24 time=268 ms
64 bytes from 10.1.74.178: icmp_seq=129 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=130 ttl=24 time=257 ms
64 bytes from 10.1.74.178: icmp_seq=131 ttl=24 time=264 ms
64 bytes from 10.1.74.178: icmp_seq=132 ttl=24 time=273 ms
64 bytes from 10.1.74.178: icmp_seq=133 ttl=24 time=272 ms
64 bytes from 10.1.74.178: icmp_seq=134 ttl=24 time=271 ms
64 bytes from 10.1.74.178: icmp_seq=135 ttl=24 time=260 ms
64 bytes from 10.1.74.178: icmp_seq=136 ttl=24 time=269 ms
64 bytes from 10.1.74.178: icmp_seq=137 ttl=24 time=267 ms
64 bytes from 10.1.74.178: icmp_seq=138 ttl=24 time=284 ms
64 bytes from 10.1.74.178: icmp_seq=139 ttl=24 time=277 ms
64 bytes from 10.1.74.178: icmp_seq=140 ttl=24 time=263 ms
64 bytes from 10.1.74.178: icmp_seq=141 ttl=24 time=269 ms
64 bytes from 10.1.74.178: icmp_seq=142 ttl=24 time=266 ms
64 bytes from 10.1.74.178: icmp_seq=143 ttl=24 time=266 ms
64 bytes from 10.1.74.178: icmp_seq=144 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=145 ttl=24 time=271 ms
64 bytes from 10.1.74.178: icmp_seq=146 ttl=24 time=262 ms
64 bytes from 10.1.74.178: icmp_seq=147 ttl=24 time=265 ms
64 bytes from 10.1.74.178: icmp_seq=148 ttl=24 time=277 ms
64 bytes from 10.1.74.178: icmp_seq=149 ttl=24 time=267 ms
64 bytes from 10.1.74.178: icmp_seq=150 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=151 ttl=24 time=262 ms
64 bytes from 10.1.74.178: icmp_seq=152 ttl=24 time=271 ms
64 bytes from 10.1.74.178: icmp_seq=153 ttl=24 time=227 ms
64 bytes from 10.1.74.178: icmp_seq=154 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=155 ttl=24 time=265 ms
64 bytes from 10.1.74.178: icmp_seq=156 ttl=24 time=275 ms
64 bytes from 10.1.74.178: icmp_seq=157 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=158 ttl=24 time=267 ms
64 bytes from 10.1.74.178: icmp_seq=159 ttl=24 time=275 ms
64 bytes from 10.1.74.178: icmp_seq=160 ttl=24 time=281 ms
64 bytes from 10.1.74.178: icmp_seq=161 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=162 ttl=24 time=275 ms
64 bytes from 10.1.74.178: icmp_seq=163 ttl=24 time=269 ms
64 bytes from 10.1.74.178: icmp_seq=164 ttl=24 time=275 ms
64 bytes from 10.1.74.178: icmp_seq=165 ttl=24 time=268 ms
64 bytes from 10.1.74.178: icmp_seq=166 ttl=24 time=272 ms
64 bytes from 10.1.74.178: icmp_seq=167 ttl=24 time=271 ms
64 bytes from 10.1.74.178: icmp_seq=168 ttl=24 time=275 ms
64 bytes from 10.1.74.178: icmp_seq=169 ttl=24 time=266 ms
64 bytes from 10.1.74.178: icmp_seq=170 ttl=24 time=273 ms
64 bytes from 10.1.74.178: icmp_seq=171 ttl=24 time=267 ms
64 bytes from 10.1.74.178: icmp_seq=172 ttl=24 time=272 ms
64 bytes from 10.1.74.178: icmp_seq=173 ttl=24 time=273 ms
64 bytes from 10.1.74.178: icmp_seq=174 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=175 ttl=24 time=273 ms
64 bytes from 10.1.74.178: icmp_seq=176 ttl=24 time=276 ms
64 bytes from 10.1.74.178: icmp_seq=177 ttl=24 time=269 ms
64 bytes from 10.1.74.178: icmp_seq=178 ttl=24 time=265 ms
64 bytes from 10.1.74.178: icmp_seq=179 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=180 ttl=24 time=262 ms
64 bytes from 10.1.74.178: icmp_seq=181 ttl=24 time=266 ms
64 bytes from 10.1.74.178: icmp_seq=182 ttl=24 time=267 ms
64 bytes from 10.1.74.178: icmp_seq=183 ttl=24 time=268 ms
64 bytes from 10.1.74.178: icmp_seq=184 ttl=24 time=274 ms
64 bytes from 10.1.74.178: icmp_seq=185 ttl=24 time=263 ms
64 bytes from 10.1.74.178: icmp_seq=186 ttl=24 time=250 ms
64 bytes from 10.1.74.178: icmp_seq=187 ttl=24 time=257 ms
64 bytes from 10.1.74.178: icmp_seq=188 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=189 ttl=24 time=257 ms
64 bytes from 10.1.74.178: icmp_seq=190 ttl=24 time=265 ms
64 bytes from 10.1.74.178: icmp_seq=191 ttl=24 time=269 ms
64 bytes from 10.1.74.178: icmp_seq=192 ttl=24 time=277 ms
64 bytes from 10.1.74.178: icmp_seq=193 ttl=24 time=267 ms
64 bytes from 10.1.74.178: icmp_seq=194 ttl=24 time=267 ms
64 bytes from 10.1.74.178: icmp_seq=195 ttl=24 time=266 ms
64 bytes from 10.1.74.178: icmp_seq=196 ttl=24 time=257 ms
64 bytes from 10.1.74.178: icmp_seq=197 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=198 ttl=24 time=264 ms
64 bytes from 10.1.74.178: icmp_seq=199 ttl=24 time=278 ms
64 bytes from 10.1.74.178: icmp_seq=200 ttl=24 time=273 ms
64 bytes from 10.1.74.178: icmp_seq=201 ttl=24 time=263 ms
64 bytes from 10.1.74.178: icmp_seq=202 ttl=24 time=264 ms
64 bytes from 10.1.74.178: icmp_seq=203 ttl=24 time=262 ms
64 bytes from 10.1.74.178: icmp_seq=204 ttl=24 time=267 ms
64 bytes from 10.1.74.178: icmp_seq=205 ttl=24 time=271 ms
64 bytes from 10.1.74.178: icmp_seq=206 ttl=24 time=264 ms
64 bytes from 10.1.74.178: icmp_seq=207 ttl=24 time=271 ms
64 bytes from 10.1.74.178: icmp_seq=208 ttl=24 time=258 ms
64 bytes from 10.1.74.178: icmp_seq=209 ttl=24 time=272 ms
64 bytes from 10.1.74.178: icmp_seq=210 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=211 ttl=24 time=265 ms
64 bytes from 10.1.74.178: icmp_seq=212 ttl=24 time=259 ms
64 bytes from 10.1.74.178: icmp_seq=213 ttl=24 time=269 ms
64 bytes from 10.1.74.178: icmp_seq=214 ttl=24 time=261 ms
64 bytes from 10.1.74.178: icmp_seq=215 ttl=24 time=273 ms
64 bytes from 10.1.74.178: icmp_seq=216 ttl=24 time=269 ms
64 bytes from 10.1.74.178: icmp_seq=217 ttl=24 time=262 ms
64 bytes from 10.1.74.178: icmp_seq=218 ttl=24 time=264 ms
64 bytes from 10.1.74.178: icmp_seq=219 ttl=24 time=266 ms
64 bytes from 10.1.74.178: icmp_seq=220 ttl=24 time=261 ms
64 bytes from 10.1.74.178: icmp_seq=221 ttl=24 time=270 ms
64 bytes from 10.1.74.178: icmp_seq=222 ttl=24 time=256 ms
64 bytes from 10.1.74.178: icmp_seq=223 ttl=24 time=255 ms
64 bytes from 10.1.74.178: icmp_seq=224 ttl=24 time=267 ms
64 bytes from 10.1.74.178: icmp_seq=225 ttl=24 time=261 ms
64 bytes from 10.1.74.178: icmp_seq=226 ttl=24 time=260 ms
64 bytes from 10.1.74.178: icmp_seq=227 ttl=24 time=261 ms
